subject	date	age	gender	CRT	quiz	incoherent	code	comment
S51254092	29/June/2018	35	 M	1	1	0	O	by how far they would go into a room they already cleared
S516473	22/June/2018	25	 M	0	1	0	O	 how many excessive moves were taken
S52699495	29/June/2018	24	 M	0	1	0	O	How long it took them
S546720	22/June/2018	26	 M	0	1	0	O	I generally gave higher marks if they did not back-track or do any unnecessary movements. I realize that a good portion of the time it was a 50/50 shot of choosing the correct path, but once that happens they needed to commit.
S557436	22/June/2018	38	 M	1	1	0	P	by how they moved, if they went for the easiest way to reveal the biggest groups of fog in each path. sometimes they would take a long way and get lucky. Other times they would have to backtrack. It was a bit of luck if they finished fast, but the methodology of reducing possible movement time is what I looked for.
S606018	22/June/2018	34	 F	0	1	0	O	If they took too long and didn't take obvious shortcuts, I marked them down and called them less intelligence.
S61025202	29/June/2018	42	 M	1	1	0	O	Based on the path that was taken and how quickly they were able to navigate towards the exit.
S62671361	26/June/2018	69	 F	2	1	0	O	 fun fun fun  If they went the shortest route to find out if it was there.This was easy except I was confused if we only saw part where it stopped I marked those as a 1. Maybe that was the wrong way to do that.
S629044	22/June/2018	19	 M	2	1	0	P	 Good luck!  Most efficient pathing, so if they went past something that would have been easy to check I'd say that is bad.
S63531323	26/June/2018	39	 F	2	1	0	?	 I looked at how quickly they changed course when you could tell the end wasn't where they were
S644057	22/June/2018	25	 F	3	1	0	?	I based it mainly on the paths chosen. If they took a path that was a couple steps longer I marked them down.
S65057399	29/June/2018	24	 M	3	1	0	P	I examined whether they made pointless or useless moves, and also examined whether they took the path that made the most sense to me. The path that made the most sense to me is the one that would minimize the number of moves you'd have to take if you were wrong, so if there were two paths you could take and one required a lot more moves you'd take the shorter path first so that you could find the dot on the longer path rather than take the entire longer path without finding the dot in the first place.
S65431083	26/June/2018	40	 F	3	1	0	P	According to how logical seemed their decisions and number of move observed
S65563428	26/June/2018	54	 M	2	1	1	?	Most of my determination was made in view of whether they could see where the exit was at the outset. 
S677286	22/June/2018	56	 M	3	1	0	P	detection of obvious, chocie of largest possible area first
S71252812	26/June/2018	47	 F	1	1	0	O	The fewer stops and the fewer turns they took the higher I judged their intelligence.
S73010474	26/June/2018	29	 M	2	0	0	O	 I based it on how quickly the face switched directions when the red dot was not in the room.
S74716187	29/June/2018	49	 F	2	1	0	?	 Thanks  If they backtracked much I would say they weren't that intelligent. It is hard to gauge as they have to check areas to see if the end is there.
S759268	22/June/2018	39	 F	2	1	0	P	I based it upon how thorough of a search they did and if they wasted any moves.
S78197418	29/June/2018	28	 M	0	1	0	O	Whether they took the shortest amount of time to get to each red circle and also whether they made unnecessary moves to empty spaces.
S84049839	29/June/2018	36	 F	0	1	0	O	how well or fast they found the circle
S86401540	29/June/2018	30	 M	3	1	0	P	I tried to assess whether the participant was taking the shortest reasonable path given their knowledge of the maze.
S88574813	26/June/2018	34	 M	3	1	0	P	I decided whether they took the most efficient path and rated accordingly.
S88693588	26/June/2018	27	 M	2	1	0	?	 Thanks!  how much time they spent going in directions that were clearly dead space
S915765	29/June/2018	59	 M	2	1	0	P	I judged what I would do in the same situation  by calculation possible odds.
S91975130	29/June/2018	42	 M	3	1	0	P	If they moved around needlessly or in a confused manner, they got 1. If they made a minor unnecessary movement, they got 2. Generally people got 3 because there's mostly only one obvious way to clear a map, a couple people got 4 because a couple maps did offer the ability to make wise/unwise choices.
S92692305	26/June/2018	42	 F	1	1	0	O	 have a great day  based on how fast the person found the exit
S92951792	26/June/2018	51	 F	3	1	0	P	By whether the person tested the shortest path to intelligence first.
S945650	22/June/2018	24	 F	2	1	0	P	I made evaluations of intelligence based on their efficiency and the way they picked their routes.
S948330	22/June/2018	59	 F	2	1	0	?	By how many wrong turns they took
S967196	22/June/2018	30	 M	0	1	0	P	I rated the people who revealed more black blocks per turn earlier as higher intelligence.
S970030	25/June/2018	54	 F	0	1	0	O	I evaluated the intelligence based on how many moves it took them to reach the red circle and if they did it with ease and not alot of back tracking
S9866609	26/June/2018	29	 F	0	1	0	O	Since they had to find the exit in a few moves as possible, I based it on wasted efforts, such as choosing to check a further area before a closer one, or needlessly going to the edges when you could already see there.
S99043	22/June/2018	44	 M	3	1	0	?	Number of moves and if they went into the easiest room to uncover was also a plus.
S991408	22/June/2018	34	 M	1	1	0	O	 Everyone that uncovered the whole map and got to the dot at the very end got a 3. If they backtracked, they got a 2 or 1. If they went straight to the dot and left a lot of the map uncovered, they scored a 4 or 5 depending on speed
